ï»¿Informe de alerta de HP SiteScope - Tabla
"Monitor","Tipo","Estado","Mensaje","Fecha","Grupo",
"Apache s5vpapwlmeb01","Mailto","Pass","emanuel.martinez@imss.gob.mx lucio.gomez@imss.gob.mx carlos.ramirezriv@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-mw@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx javier.cortesl@imss.gob.mx alertasdemonitoreo@kionetworks.com","16/04/22 01:17 AM","CLIMSS: Webserver: Apache s5vpapwlmeb01",
"Apache s5vpapwlmeb01","Mailto","Pass","emanuel.martinez@imss.gob.mx lucio.gomez@imss.gob.mx carlos.ramirezriv@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-mw@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx javier.cortesl@imss.gob.mx alertasdemonitoreo@kionetworks.com","17/04/22 01:18 AM","CLIMSS: Webserver: Apache s5vpapwlmeb01",
"Apache s5vpapwlmeb01","Mailto","Pass","emanuel.martinez@imss.gob.mx lucio.gomez@imss.gob.mx carlos.ramirezriv@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-mw@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx javier.cortesl@imss.gob.mx alertasdemonitoreo@kionetworks.com","18/04/22 01:17 AM","CLIMSS: Webserver: Apache s5vpapwlmeb01",
"Apache s5vpapwlmeb01","Mailto","Pass","emanuel.martinez@imss.gob.mx lucio.gomez@imss.gob.mx carlos.ramirezriv@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-mw@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx javier.cortesl@imss.gob.mx alertasdemonitoreo@kionetworks.com","19/04/22 01:17 AM","CLIMSS: Webserver: Apache s5vpapwlmeb01",
"Apache s5vpapwlmeb01","Mailto","Pass","emanuel.martinez@imss.gob.mx lucio.gomez@imss.gob.mx carlos.ramirezriv@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-mw@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx javier.cortesl@imss.gob.mx alertasdemonitoreo@kionetworks.com","20/04/22 01:18 AM","CLIMSS: Webserver: Apache s5vpapwlmeb01",
"Apache s5vpapwlmeb01","Mailto","Pass","emanuel.martinez@imss.gob.mx lucio.gomez@imss.gob.mx carlos.ramirezriv@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-mw@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx javier.cortesl@imss.gob.mx alertasdemonitoreo@kionetworks.com","21/04/22 01:17 AM","CLIMSS: Webserver: Apache s5vpapwlmeb01",
"Apache s5vpapwlmeb01","Mailto","Pass","emanuel.martinez@imss.gob.mx lucio.gomez@imss.gob.mx carlos.ramirezriv@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-mw@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx javier.cortesl@imss.gob.mx alertasdemonitoreo@kionetworks.com","22/04/22 01:17 AM","CLIMSS: Webserver: Apache s5vpapwlmeb01",
"CPU IMSSVC","Mailto","Pass","alertasdemonitoreo@kionetworks.com hco-intel@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx jmendoza@kionetworks.com clopezl@kionetworks.com hco-cmi@kionetworks.com hco-intel@kionetworks.com di.operacion@imss.gob.mx","15/04/22 07:12 PM","INTEL(VARIOS): IMSSVC",
"CPU s5vpapededtk01","Mailto","Pass","hugo.olvera@imss.gob.mx ivette.rodriguezt@imss.gob.mx beatriz.oaxaca@imss.gob.mx benjamin.mercado@softtek.com imss.monitoreo@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com hp_sa@kionetworks.com hco-ux@kionetworks.com","19/04/22 06:24 PM","EDUTK: Sistema: s5vpapededtk01",
"CPU s5vpapededtk01","Mailto","Pass","beatriz.oaxaca@imss.gob.mx benjamin.mercado@softtek.com imss.monitoreo@imss.gob.mx di.operacion@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com hp_sa@kionetworks.com hco-ux@kionetworks.com","19/04/22 08:04 PM","EDUTK: Sistema: s5vpapededtk01",
